type,list,answer
utensils,"['colander', 'bicycle', 'otter', 'zester', 'slotted spoon', 'tambourine', 'hindi']",3
utensils,"['ambulance', 'trumpet', 'grater', 'colander']",2
languages,"['lychee', 'grape', 'maori', 'rolling pin', 'badger', 'norwegian', 'korean']",3
animals,"['grape', 'tongs', 'dolphin', 'buffalo', 'sloth', 'guava', 'penguin', 'arabic']",4
utensils,"['banana', 'cleaver', 'rambutan', 'yoruba']",1
musical instruments,"['koala', 'grater', 'norwegian', 'tuba']",1
fruits,"['dolphin', 'bicycle', 'orange', 'banana', 'rambutan', 'whisk', 'chameleon']",3
fruits,"['peeler', 'kiwi', 'greek', 'ferry', 'pear']",2
musical instruments,"['mandolin', 'banjo', 'sitar', 'otter', 'tuba']",4
vehicles,"['scooter', 'bicycle', 'badger', 'yoruba', 'masher']",2
vehicles,"['accordion', 'rambutan', 'tagalog', 'norwegian', 'van', 'ferry', 'ambulance']",3
fruits,"['ferry', 'finnish', 'whisk', 'measuring cup']",0
musical instruments,"['piccolo', 'plum', 'lychee', 'kangaroo', 'accordion']",2
fruits,"['banana', 'mango', 'tambourine', 'mandoline', 'plum', 'xylophone', 'rice paddle', 'rambutan']",4
vehicles,"['peeler', 'ambulance', 'trolley', 'truck', 'convertible', 'lion', 'badger']",4
utensils,"['dolphin', 'oboe', 'slotted spoon', 'colander']",2
vehicles,"['motorcycle', 'swahili', 'scooter', 'mandarin', 'ferry', 'bus']",4
utensils,"['paring knife', 'skimmer', 'grape', 'rolling pin', 'tagalog']",3
musical instruments,"['tambourine', 'sedan', 'violin', 'papaya', 'mandolin']",3
musical instruments,"['marimba', 'sitar', 'persian', 'bagpipe', 'guava']",3
languages,"['colander', 'korean', 'swahili', 'tambourine', 'tongs', 'apricot']",2
animals,"['plum', 'persimmon', 'spatula', 'baster']",0
musical instruments,"['banjo', 'thai', 'bagpipe', 'tagalog', 'xylophone', 'kangaroo', 'spatula']",3
vehicles,"['swahili', 'rolling pin', 'motorcycle', 'grater', 'mandoline']",1
musical instruments,"['cleaver', 'mango', 'guava', 'lychee']",0
languages,"['mango', 'rolling pin', 'measuring cup', 'minivan']",0
animals,"['grater', 'leopard', 'persian', 'rambutan', 'badger', 'chameleon', 'tongs']",3
fruits,"['truck', 'rambutan', 'sitar', 'tuba', 'peach', 'date', 'mandarin']",3
musical instruments,"['lychee', 'mandolin', 'trombone', 'mandarin', 'clarinet', 'violin', 'motorcycle', 'trolley']",4
musical instruments,"['peach', 'meat tenderizer', 'sloth', 'lion']",0
languages,"['ladle', 'mandolin', 'zester', 'bassoon']",0
utensils,"['swahili', 'masher', 'baster', 'panther', 'tambourine']",2
languages,"['badger', 'tagalog', 'hungarian', 'lychee']",2
musical instruments,"['pomegranate', 'otter', 'norwegian', 'tuba', 'tambourine']",2
animals,"['persimmon', 'otter', 'badger', 'kiwi', 'sloth', 'lychee']",3
languages,"['persian', 'alpaca', 'hebrew', 'subway', 'vietnamese', 'cleaver', 'pomegranate', 'greek']",4
vehicles,"['subway', 'swahili', 'truck', 'pomegranate']",2
fruits,"['paring knife', 'spaceship', 'pear', 'strainer', 'finnish']",1
utensils,"['masher', 'strainer', 'baster', 'rolling pin']",4
languages,"['apricot', 'gondola', 'harp', 'convertible']",0
vehicles,"['ferry', 'subway', 'minivan', 'gondola']",4
fruits,"['kangaroo', 'marimba', 'convertible', 'oboe']",0
fruits,"['giraffe', 'persimmon', 'zester', 'peach']",2
animals,"['panther', 'alpaca', 'norwegian', 'hyena', 'elephant']",4
fruits,"['subway', 'czech', 'cherry', 'jaguar', 'papaya', 'grape', 'kiwi']",4
vehicles,"['ferry', 'truck', 'greek', 'buffalo', 'van']",3
animals,"['otter', 'mandoline', 'panther', 'tagalog', 'chameleon']",3
fruits,"['meat tenderizer', 'turkish', 'clarinet', 'motorcycle']",0
languages,"['badger', 'plum', 'maori', 'mandarin', 'masher']",2
musical instruments,"['trombone', 'paring knife', 'bengali', 'bus']",1
utensils,"['rice paddle', 'mandoline', 'cleaver', 'lion', 'whisk']",4
languages,"['bulldozer', 'arabic', 'meat tenderizer', 'cleaver', 'dolphin', 'yoruba', 'punjabi']",3
utensils,"['otter', 'masher', 'bicycle', 'paring knife', 'jeep']",2
utensils,"['spatula', 'subway', 'colander', 'motorcycle', 'ladle', 'mandoline', 'yoruba']",4
languages,"['clarinet', 'persimmon', 'date', 'banjo', 'turkish']",1
vehicles,"['banana', 'trolley', 'van', 'jeep', 'tuba', 'rolling pin', 'bulldozer']",4
languages,"['hebrew', 'turkish', 'thai', 'rolling pin', 'whisk', 'mango']",3
vehicles,"['clarinet', 'papaya', 'jeep', 'sedan']",2
vehicles,"['pear', 'ambulance', 'elephant', 'sedan', 'bicycle', 'kiwi', 'rolling pin']",3
animals,"['elephant', 'badger', 'van', 'cello', 'alpaca', 'leopard']",4
vehicles,"['tagalog', 'subway', 'apple', 'finnish']",1
utensils,"['slotted spoon', 'orange', 'convertible', 'didgeridoo', 'harp', 'strainer']",2
fruits,"['lychee', 'leopard', 'punjabi', 'baster']",1
musical instruments,"['giraffe', 'elephant', 'banjo', 'arabic']",1
vehicles,"['skimmer', 'maori', 'greek', 'masher', 'bicycle', 'spaceship', 'motorcycle']",3
vehicles,"['trolley', 'rolling pin', 'van', 'ambulance']",3
languages,"['czech', 'maori', 'motorcycle', 'gondola', 'tagalog']",3
animals,"['panther', 'walrus', 'koala', 'apricot', 'thai', 'persian']",3
musical instruments,"['zester', 'bus', 'pear', 'bagpipe', 'strainer', 'violin']",2
languages,"['yoruba', 'truck', 'punjabi', 'bagpipe']",2
languages,"['minivan', 'kiwi', 'rolling pin', 'spatula']",0
fruits,"['greek', 'alpaca', 'punjabi', 'trombone', 'apricot']",1
fruits,"['truck', 'banana', 'masher', 'greek', 'papaya']",2
fruits,"['peeler', 'convertible', 'mandarin', 'grater']",0
languages,"['trumpet', 'tongs', 'scooter', 'korean', 'thai']",2
utensils,"['piccolo', 'ferry', 'van', 'jaguar']",0
languages,"['thai', 'lion', 'finnish', 'greek', 'banjo', 'pomegranate', 'convertible', 'hindi']",4
languages,"['meat tenderizer', 'swahili', 'ambulance', 'penguin', 'sedan']",1
utensils,"['banjo', 'hyena', 'meat tenderizer', 'czech', 'greek']",1
vehicles,"['ambulance', 'bicycle', 'oboe', 'fig', 'skimmer', 'rolling pin']",2
animals,"['date', 'alpaca', 'apple', 'bengali', 'banana']",1
vehicles,"['gorilla', 'ambulance', 'jaguar', 'pomegranate']",1
fruits,"['skimmer', 'ferry', 'oboe', 'walrus']",0
fruits,"['fig', 'finnish', 'apple', 'persian']",2
animals,"['maori', 'rambutan', 'ladle', 'badger', 'swahili', 'kangaroo']",2
fruits,"['plum', 'marimba', 'kiwi', 'badger', 'mango']",3
languages,"['grape', 'meat tenderizer', 'convertible', 'plum']",0
musical instruments,"['harp', 'bagpipe', 'strainer', 'sitar', 'gorilla']",3
musical instruments,"['gondola', 'oboe', 'bassoon', 'trumpet', 'lion']",3
languages,"['trombone', 'truck', 'lion', 'hindi', 'mandoline']",1
animals,"['grape', 'cleaver', 'paring knife', 'trumpet']",0
utensils,"['zester', 'peeler', 'sedan', 'scooter', 'bicycle']",2
languages,"['punjabi', 'czech', 'greek', 'apricot', 'bengali']",4
vehicles,"['punjabi', 'sloth', 'guava', 'paring knife', 'gondola']",1
languages,"['jaguar', 'apple', 'plum', 'persimmon']",0
animals,"['dolphin', 'lion', 'oboe', 'whisk', 'subway', 'banana', 'otter']",3
utensils,"['plum', 'grater', 'zester', 'didgeridoo', 'ambulance', 'ferry']",2
fruits,"['minivan', 'buffalo', 'czech', 'persian']",0
fruits,"['persimmon', 'bengali', 'subway', 'apricot', 'rambutan', 'banana', 'accordion', 'badger']",4
musical instruments,"['bagpipe', 'sitar', 'bassoon', 'masher']",3
vehicles,"['walrus', 'bagpipe', 'sedan', 'ferry', 'bicycle', 'motorcycle']",4
languages,"['orange', 'punjabi', 'vietnamese', 'truck', 'hungarian']",3
languages,"['xylophone', 'masher', 'walrus', 'norwegian', 'papaya']",1
musical instruments,"['alpaca', 'panther', 'spatula', 'gorilla']",0
animals,"['hyena', 'hebrew', 'lion', 'panther']",3
fruits,"['chameleon', 'elephant', 'pear', 'leopard', 'violin']",1
animals,"['scooter', 'koala', 'persimmon', 'giraffe', 'gorilla', 'apricot']",3
musical instruments,"['banana', 'leopard', 'zester', 'strainer']",0
languages,"['tagalog', 'yoruba', 'hindi', 'walrus', 'swahili']",4
utensils,"['colander', 'sedan', 'whisk', 'skimmer']",3
utensils,"['dolphin', 'tambourine', 'strainer', 'plum', 'turkish']",1
languages,"['koala', 'swahili', 'lute', 'norwegian', 'hindi', 'hungarian']",4
vehicles,"['bulldozer', 'spatula', 'oboe', 'tuba', 'convertible', 'pomegranate']",2
animals,"['bengali', 'mandoline', 'korean', 'gorilla', 'mango']",1
languages,"['yoruba', 'sedan', 'kangaroo', 'strainer']",1
vehicles,"['norwegian', 'ferry', 'mandoline', 'tram']",2
musical instruments,"['strainer', 'masher', 'hebrew', 'rice paddle']",0
utensils,"['punjabi', 'mandoline', 'spaceship', 'zester', 'truck']",2
languages,"['thai', 'strainer', 'harp', 'kiwi', 'yoruba', 'hebrew']",3
languages,"['trolley', 'violin', 'sedan', 'motorcycle']",0
languages,"['bengali', 'peeler', 'spatula', 'apple', 'tagalog', 'persian']",3
utensils,"['alpaca', 'korean', 'lion', 'ladle']",1
musical instruments,"['truck', 'apple', 'tambourine', 'koala']",1
vehicles,"['paring knife', 'gorilla', 'buffalo', 'tagalog']",0
musical instruments,"['tambourine', 'harp', 'cello', 'piccolo', 'badger']",4
vehicles,"['spaceship', 'convertible', 'scooter', 'strainer', 'mandoline', 'subway', 'trumpet']",4
utensils,"['otter', 'apricot', 'sedan', 'cleaver', 'slotted spoon', 'violin', 'measuring cup', 'skimmer']",4
vehicles,"['baster', 'tongs', 'mandoline', 'jeep', 'piccolo']",1
languages,"['accordion', 'apple', 'mandarin', 'vietnamese', 'cherry', 'bus', 'korean']",3
vehicles,"['whisk', 'cleaver', 'panther', 'hebrew']",0
musical instruments,"['elephant', 'masher', 'motorcycle', 'gondola']",0
fruits,"['strainer', 'ladle', 'cleaver', 'minivan']",0
languages,"['persian', 'mandarin', 'whisk', 'arabic']",3
vehicles,"['cleaver', 'thai', 'guava', 'spaceship']",1
musical instruments,"['thai', 'badger', 'slotted spoon', 'peach']",0
animals,"['panther', 'trolley', 'kiwi', 'badger', 'elephant', 'gondola']",3
musical instruments,"['tagalog', 'subway', 'didgeridoo', 'colander', 'orange']",1
languages,"['tram', 'buffalo', 'cleaver', 'punjabi', 'measuring cup']",1
languages,"['measuring cup', 'banana', 'apple', 'swahili']",1
languages,"['grape', 'sedan', 'norwegian', 'korean', 'finnish']",3
languages,"['apple', 'cleaver', 'strainer', 'tongs']",0
musical instruments,"['trumpet', 'truck', 'bassoon', 'clarinet', 'orange', 'fig', 'xylophone']",4
utensils,"['orange', 'harp', 'chameleon', 'didgeridoo']",0
languages,"['cleaver', 'measuring cup', 'didgeridoo', 'hyena']",0
languages,"['fig', 'lute', 'pear', 'hungarian']",1
utensils,"['bagpipe', 'turkish', 'hebrew', 'sedan']",0
vehicles,"['xylophone', 'strainer', 'mandolin', 'harp']",0
fruits,"['lychee', 'banana', 'date', 'cherry']",4
musical instruments,"['bagpipe', 'mandolin', 'bulldozer', 'peach', 'bicycle', 'trombone']",3
musical instruments,"['hindi', 'peeler', 'clarinet', 'hyena', 'maori']",1
musical instruments,"['vietnamese', 'mango', 'banana', 'rolling pin']",0
languages,"['grape', 'rice paddle', 'plum', 'penguin']",0
musical instruments,"['piccolo', 'raccoon', 'norwegian', 'dolphin']",1
vehicles,"['bus', 'hindi', 'swahili', 'sedan', 'leopard']",2
animals,"['ferry', 'apple', 'otter', 'papaya', 'dolphin', 'kiwi']",2
utensils,"['colander', 'greek', 'sitar', 'fig']",1
musical instruments,"['cello', 'hungarian', 'date', 'oboe', 'papaya', 'penguin']",2
vehicles,"['bagpipe', 'grape', 'buffalo', 'oboe']",0
fruits,"['persian', 'orange', 'date', 'peach', 'papaya', 'gorilla', 'spaceship', 'strainer']",4
musical instruments,"['sitar', 'harp', 'marimba', 'convertible', 'raccoon', 'alpaca']",3
languages,"['bengali', 'vietnamese', 'thai', 'arabic']",4
utensils,"['motorcycle', 'yoruba', 'gondola', 'finnish']",0
languages,"['maori', 'tambourine', 'korean', 'peeler', 'hungarian', 'spatula', 'hyena']",3
languages,"['hyena', 'walrus', 'piccolo', 'otter']",0
fruits,"['arabic', 'lion', 'grater', 'violin', 'mango']",1
vehicles,"['lute', 'gondola', 'bulldozer', 'date', 'tambourine', 'spaceship', 'norwegian']",3
languages,"['peach', 'bengali', 'mandarin', 'korean', 'spatula']",3
languages,"['ferry', 'tagalog', 'rambutan', 'mango', 'slotted spoon']",1
vehicles,"['lion', 'bassoon', 'bulldozer', 'scooter']",2
animals,"['thai', 'sloth', 'buffalo', 'lute', 'lion', 'elephant', 'papaya']",4
utensils,"['truck', 'banjo', 'chameleon', 'guava']",0
vehicles,"['subway', 'dolphin', 'sedan', 'orange', 'lute']",2
languages,"['apple', 'mandolin', 'jaguar', 'alpaca']",0
vehicles,"['motorcycle', 'bus', 'finnish', 'melon', 'violin', 'strainer', 'spaceship', 'truck']",4
fruits,"['mango', 'hyena', 'trolley', 'bengali', 'persian']",1
animals,"['trombone', 'penguin', 'gondola', 'peeler', 'badger', 'oboe']",2
vehicles,"['maori', 'plum', 'lute', 'hyena']",0
fruits,"['mango', 'banana', 'hebrew', 'violin']",2
musical instruments,"['gondola', 'walrus', 'orange', 'jeep', 'mandolin']",1
vehicles,"['minivan', 'scooter', 'spatula', 'norwegian', 'jeep', 'cello', 'swahili', 'convertible']",4
utensils,"['baster', 'slotted spoon', 'cello', 'colander', 'tambourine', 'giraffe']",3
vehicles,"['trolley', 'jeep', 'bagpipe', 'bicycle']",3
musical instruments,"['tuba', 'lute', 'elephant', 'kiwi', 'bulldozer', 'cleaver']",2
vehicles,"['turkish', 'raccoon', 'trolley', 'date', 'scooter']",2
musical instruments,"['bassoon', 'violin', 'lute', 'motorcycle', 'piccolo']",4
fruits,"['mango', 'rambutan', 'mandoline', 'cherry', 'orange', 'minivan']",4
musical instruments,"['orange', 'van', 'tuba', 'arabic', 'peeler']",1
utensils,"['peach', 'colander', 'baster', 'cleaver']",3
utensils,"['trolley', 'lion', 'giraffe', 'vietnamese']",0
fruits,"['gorilla', 'rolling pin', 'banana', 'giraffe']",1
animals,"['sitar', 'rambutan', 'papaya', 'colander']",0
vehicles,"['raccoon', 'meat tenderizer', 'gondola', 'arabic', 'bulldozer']",2
fruits,"['minivan', 'walrus', 'banana', 'persimmon']",2
vehicles,"['mandolin', 'grater', 'ambulance', 'cleaver', 'van', 'bus', 'hindi', 'gondola']",4
vehicles,"['bus', 'tram', 'panther', 'minivan', 'convertible', 'paring knife']",4
musical instruments,"['meat tenderizer', 'giraffe', 'ferry', 'sloth']",0
animals,"['koala', 'punjabi', 'convertible', 'lute', 'buffalo', 'hindi']",2
animals,"['fig', 'chameleon', 'koala', 'kangaroo', 'plum', 'skimmer', 'thai', 'dolphin']",4
utensils,"['guava', 'czech', 'convertible', 'skimmer']",1
animals,"['strainer', 'sitar', 'dolphin', 'spaceship']",1
fruits,"['kiwi', 'paring knife', 'banana', 'lychee', 'date']",4
languages,"['pomegranate', 'motorcycle', 'measuring cup', 'tuba']",0
animals,"['persimmon', 'peach', 'walrus', 'hebrew']",1
languages,"['sitar', 'trumpet', 'thai', 'apple']",1
utensils,"['hyena', 'penguin', 'arabic', 'colander', 'whisk', 'apricot', 'rice paddle']",3
musical instruments,"['ladle', 'trolley', 'marimba', 'cleaver', 'piccolo']",2
languages,"['didgeridoo', 'tongs', 'harp', 'ferry']",0
utensils,"['subway', 'tuba', 'badger', 'ladle', 'hebrew', 'spatula']",2
musical instruments,"['colander', 'tagalog', 'norwegian', 'rolling pin', 'mandolin']",1
fruits,"['norwegian', 'paring knife', 'punjabi', 'van']",0
fruits,"['walrus', 'korean', 'clarinet', 'pear', 'pomegranate', 'mango']",3
utensils,"['melon', 'masher', 'rambutan', 'kangaroo']",1
fruits,"['melon', 'apricot', 'orange', 'subway', 'grape']",4
musical instruments,"['zester', 'korean', 'cherry', 'accordion', 'xylophone', 'bagpipe', 'peeler']",3
musical instruments,"['sloth', 'kangaroo', 'motorcycle', 'jeep', 'sitar']",1
fruits,"['peach', 'rice paddle', 'accordion', 'lychee', 'masher', 'buffalo']",2
fruits,"['cello', 'colander', 'kangaroo', 'grater']",0
fruits,"['papaya', 'apple', 'mango', 'panther']",3
utensils,"['ladle', 'elephant', 'oboe', 'strainer', 'tagalog']",2
musical instruments,"['badger', 'slotted spoon', 'punjabi', 'turkish']",0
musical instruments,"['bagpipe', 'convertible', 'trumpet', 'bulldozer', 'norwegian', 'jaguar']",2
languages,"['grape', 'kiwi', 'subway', 'tagalog', 'thai']",2
musical instruments,"['gorilla', 'peeler', 'penguin', 'cello', 'tuba', 'ambulance', 'lute', 'sitar']",4
languages,"['lion', 'paring knife', 'accordion', 'masher']",0
languages,"['yoruba', 'rolling pin', 'truck', 'piccolo', 'mandarin', 'slotted spoon', 'bengali']",3
animals,"['baster', 'clarinet', 'van', 'slotted spoon']",0
musical instruments,"['lychee', 'hyena', 'spatula', 'grape']",0
fruits,"['czech', 'pear', 'bicycle', 'xylophone', 'rambutan']",2
fruits,"['lychee', 'peach', 'alpaca', 'grape', 'melon', 'banjo']",4
vehicles,"['chameleon', 'scooter', 'ladle', 'peach', 'greek']",1
vehicles,"['minivan', 'czech', 'colander', 'ferry', 'ambulance', 'gondola']",4
languages,"['tagalog', 'ferry', 'bengali', 'punjabi', 'norwegian']",4
utensils,"['bassoon', 'baster', 'penguin', 'slotted spoon', 'date', 'rolling pin', 'trombone']",3
fruits,"['kiwi', 'van', 'papaya', 'trombone']",2
languages,"['norwegian', 'otter', 'giraffe', 'truck', 'arabic']",2
musical instruments,"['panther', 'orange', 'mandolin', 'cello', 'norwegian', 'hindi']",2
vehicles,"['panther', 'rambutan', 'cherry', 'czech']",0
vehicles,"['czech', 'colander', 'paring knife', 'trolley', 'jaguar']",1
vehicles,"['whisk', 'gondola', 'korean', 'tram', 'clarinet', 'leopard', 'ferry']",3
languages,"['trombone', 'gorilla', 'elephant', 'tambourine']",0
languages,"['rambutan', 'paring knife', 'zester', 'turkish', 'baster']",1
utensils,"['mandoline', 'slotted spoon', 'clarinet', 'pear', 'rice paddle']",3
fruits,"['sitar', 'guava', 'bicycle', 'kangaroo', 'pear', 'rambutan', 'dolphin']",3
languages,"['korean', 'mandarin', 'thai', 'arabic']",4
fruits,"['tagalog', 'minivan', 'bus', 'grape', 'fig']",2
utensils,"['rambutan', 'maori', 'hebrew', 'date']",0
utensils,"['guava', 'ambulance', 'sitar', 'otter']",0
musical instruments,"['bassoon', 'measuring cup', 'bagpipe', 'banjo']",3
musical instruments,"['hindi', 'rice paddle', 'cleaver', 'pear']",0
animals,"['sloth', 'otter', 'dolphin', 'turkish', 'gorilla']",4
animals,"['walrus', 'otter', 'sloth', 'greek', 'jaguar']",4
vehicles,"['hebrew', 'yoruba', 'persimmon', 'convertible', 'tagalog', 'motorcycle']",2
utensils,"['giraffe', 'jaguar', 'apricot', 'colander', 'cleaver', 'plum']",2
animals,"['pomegranate', 'penguin', 'kiwi', 'slotted spoon', 'trolley']",1
fruits,"['trumpet', 'marimba', 'zester', 'trolley']",0
musical instruments,"['persimmon', 'banjo', 'zester', 'bicycle']",1
fruits,"['hebrew', 'trombone', 'bicycle', 'oboe']",0
vehicles,"['mandolin', 'finnish', 'buffalo', 'turkish']",0
vehicles,"['jeep', 'ambulance', 'ferry', 'trolley']",4
animals,"['truck', 'rolling pin', 'elephant', 'tambourine', 'buffalo', 'accordion', 'jaguar']",3
fruits,"['hindi', 'panther', 'maori', 'persian']",0
vehicles,"['mango', 'masher', 'dolphin', 'ambulance', 'convertible', 'tram', 'sedan', 'bagpipe']",4
utensils,"['accordion', 'giraffe', 'plum', 'korean', 'ladle']",1
musical instruments,"['didgeridoo', 'penguin', 'sitar', 'banjo', 'mandoline', 'tagalog']",3
vehicles,"['thai', 'rambutan', 'rice paddle', 'gondola', 'ambulance']",2
vehicles,"['paring knife', 'sedan', 'guava', 'turkish']",1
fruits,"['skimmer', 'lion', 'strainer', 'elephant']",0
vehicles,"['trombone', 'jaguar', 'harp', 'colander', 'trolley']",1
animals,"['ambulance', 'tuba', 'bicycle', 'dolphin', 'pomegranate', 'otter']",2
languages,"['hebrew', 'fig', 'maori', 'greek', 'slotted spoon']",3
musical instruments,"['grape', 'hungarian', 'korean', 'truck']",0
languages,"['norwegian', 'vietnamese', 'raccoon', 'hungarian', 'mango', 'arabic']",4
animals,"['vietnamese', 'hindi', 'sitar', 'truck', 'jaguar']",1
fruits,"['hebrew', 'grater', 'bicycle', 'norwegian']",0
animals,"['penguin', 'koala', 'sedan', 'hebrew', 'gorilla']",3
vehicles,"['bicycle', 'sloth', 'ferry', 'ambulance']",3
utensils,"['lychee', 'meat tenderizer', 'whisk', 'spatula', 'grater']",4
animals,"['slotted spoon', 'lute', 'trombone', 'guava', 'gorilla']",1
musical instruments,"['punjabi', 'otter', 'greek', 'rice paddle']",0
animals,"['walrus', 'gorilla', 'elephant', 'penguin']",4
vehicles,"['alpaca', 'panther', 'jaguar', 'banjo']",0
vehicles,"['cherry', 'trolley', 'gondola', 'bulldozer']",3
utensils,"['mandoline', 'baster', 'masher', 'skimmer']",4
fruits,"['lychee', 'trombone', 'slotted spoon', 'sloth', 'cherry', 'apple']",3
animals,"['chameleon', 'jaguar', 'dolphin', 'slotted spoon', 'banjo', 'leopard', 'cherry', 'truck']",4
musical instruments,"['jaguar', 'buffalo', 'oboe', 'xylophone', 'bagpipe', 'peach', 'fig']",3
musical instruments,"['clarinet', 'yoruba', 'pomegranate', 'punjabi', 'penguin']",1
languages,"['colander', 'czech', 'punjabi', 'finnish', 'tram', 'slotted spoon']",3
animals,"['arabic', 'chameleon', 'gorilla', 'spaceship', 'tram', 'fig']",2
languages,"['piccolo', 'apricot', 'greek', 'accordion', 'persian', 'plum']",2
languages,"['banana', 'rambutan', 'marimba', 'slotted spoon']",0
musical instruments,"['measuring cup', 'banjo', 'dolphin', 'pomegranate', 'cleaver', 'mandolin']",2
fruits,"['cherry', 'bagpipe', 'peach', 'peeler', 'guava', 'penguin']",3
musical instruments,"['fig', 'paring knife', 'bengali', 'tuba', 'tambourine', 'subway']",2
vehicles,"['sedan', 'skimmer', 'convertible', 'ambulance']",3
musical instruments,"['maori', 'greek', 'didgeridoo', 'plum', 'oboe', 'trombone']",3
utensils,"['measuring cup', 'koala', 'gorilla', 'rice paddle', 'skimmer']",3
fruits,"['date', 'peach', 'subway', 'pomegranate', 'minivan']",3
animals,"['apricot', 'date', 'czech', 'greek']",0
languages,"['hyena', 'greek', 'masher', 'colander']",1
musical instruments,"['marimba', 'meat tenderizer', 'sitar', 'bassoon']",3
vehicles,"['bassoon', 'scooter', 'trombone', 'jeep']",2
utensils,"['ladle', 'mandolin', 'cleaver', 'minivan']",2
languages,"['thai', 'melon', 'spatula', 'maori', 'yoruba', 'bengali']",4
fruits,"['apple', 'lychee', 'rambutan', 'peach', 'accordion', 'bus']",4
animals,"['truck', 'hyena', 'tongs', 'whisk']",1
utensils,"['sloth', 'hungarian', 'bulldozer', 'papaya']",0
languages,"['zester', 'motorcycle', 'bengali', 'melon', 'kangaroo']",1
musical instruments,"['sitar', 'harp', 'xylophone', 'gondola', 'melon', 'oboe']",4
vehicles,"['bus', 'norwegian', 'sitar', 'minivan', 'czech', 'ferry']",3
animals,"['raccoon', 'giraffe', 'tram', 'hindi', 'leopard', 'gorilla']",4
animals,"['raccoon', 'peeler', 'kangaroo', 'jaguar']",3
vehicles,"['accordion', 'violin', 'tram', 'whisk', 'badger']",1
musical instruments,"['gorilla', 'buffalo', 'norwegian', 'panther']",0
languages,"['tram', 'vietnamese', 'sitar', 'maori', 'bengali']",3
utensils,"['rice paddle', 'grater', 'mandoline', 'spatula']",4
fruits,"['tram', 'grater', 'raccoon', 'measuring cup']",0
utensils,"['swahili', 'penguin', 'ladle', 'tuba']",1
utensils,"['thai', 'motorcycle', 'ambulance', 'otter']",0
fruits,"['dolphin', 'didgeridoo', 'lychee', 'pomegranate', 'apple', 'motorcycle']",3
vehicles,"['kangaroo', 'melon', 'hungarian', 'motorcycle']",1
animals,"['persian', 'accordion', 'hungarian', 'subway']",0
utensils,"['tongs', 'colander', 'cleaver', 'arabic', 'paring knife', 'motorcycle', 'piccolo', 'clarinet']",4
animals,"['badger', 'raccoon', 'tambourine', 'lion', 'meat tenderizer']",3
utensils,"['meat tenderizer', 'grape', 'masher', 'rolling pin', 'subway', 'mango', 'whisk', 'accordion']",4
utensils,"['didgeridoo', 'subway', 'meat tenderizer', 'peach', 'sedan']",1
animals,"['papaya', 'date', 'thai', 'punjabi']",0
animals,"['measuring cup', 'lion', 'cherry', 'baster']",1
animals,"['pomegranate', 'rice paddle', 'hebrew', 'bengali']",0
musical instruments,"['skimmer', 'piccolo', 'cello', 'ladle', 'subway', 'guava']",2
fruits,"['pomegranate', 'mango', 'accordion', 'lychee', 'hebrew', 'mandolin']",3
fruits,"['trombone', 'melon', 'papaya', 'cherry', 'tram', 'punjabi', 'fig', 'sedan']",4
fruits,"['bengali', 'persimmon', 'peach', 'scooter', 'czech', 'kiwi']",3
vehicles,"['didgeridoo', 'melon', 'bengali', 'hungarian']",0
utensils,"['paring knife', 'tongs', 'clarinet', 'skimmer', 'scooter']",3
utensils,"['apricot', 'sitar', 'skimmer', 'whisk', 'tagalog', 'arabic']",2
musical instruments,"['grape', 'piccolo', 'panther', 'bassoon', 'clarinet', 'measuring cup']",3
utensils,"['ferry', 'slotted spoon', 'spatula', 'cherry', 'masher']",3
animals,"['leopard', 'didgeridoo', 'bicycle', 'paring knife', 'penguin', 'buffalo', 'swahili']",3
languages,"['sitar', 'apple', 'korean', 'tram', 'swahili', 'bagpipe', 'arabic']",3
fruits,"['alpaca', 'tongs', 'cherry', 'piccolo', 'maori']",1
fruits,"['strainer', 'melon', 'tagalog', 'tambourine']",1
languages,"['otter', 'trombone', 'guava', 'hebrew']",1
languages,"['mandolin', 'czech', 'banjo', 'mandarin', 'subway', 'hindi', 'pomegranate']",3
vehicles,"['greek', 'sedan', 'orange', 'rolling pin', 'masher']",1
languages,"['whisk', 'korean', 'slotted spoon', 'thai', 'greek', 'tuba', 'arabic', 'motorcycle']",4
animals,"['trolley', 'slotted spoon', 'masher', 'tambourine', 'jaguar']",1
musical instruments,"['kangaroo', 'spatula', 'apricot', 'whisk']",0
vehicles,"['finnish', 'hungarian', 'punjabi', 'trumpet']",0
fruits,"['accordion', 'melon', 'leopard', 'norwegian']",1
fruits,"['bulldozer', 'tagalog', 'yoruba', 'baster']",0
musical instruments,"['otter', 'yoruba', 'marimba', 'guava']",1
languages,"['trombone', 'hebrew', 'hindi', 'tambourine', 'finnish', 'swahili']",4
utensils,"['panther', 'banana', 'punjabi', 'thai', 'cleaver', 'measuring cup']",2
musical instruments,"['sedan', 'bulldozer', 'persimmon', 'lychee']",0
languages,"['sitar', 'hindi', 'van', 'banjo']",1
animals,"['sloth', 'marimba', 'accordion', 'trolley', 'leopard', 'tambourine']",2
animals,"['sitar', 'hungarian', 'trolley', 'tram']",0
languages,"['ladle', 'paring knife', 'fig', 'cleaver']",0
languages,"['trolley', 'mandarin', 'rolling pin', 'mandoline', 'cherry']",1
musical instruments,"['kangaroo', 'ladle', 'lion', 'panther', 'bagpipe', 'harp']",2
